,env,agent,sf_steps,steps,seed,level
84,Switching Embodiments (7),Proximity heuristic,,24,2,4
85,Switching Embodiments (7),Proximity heuristic,,38,2,5
86,Switching Embodiments (7),Proximity heuristic,,15,2,6
87,Switching Embodiments (7),Proximity heuristic,,44,2,7
88,Switching Embodiments (7),Proximity heuristic,,18,2,8
89,Switching Embodiments (7),Proximity heuristic,,16,2,9
90,Switching Embodiments (7),Proximity heuristic,,30,2,10
91,Switching Embodiments (7),Proximity heuristic,,32,2,11
92,Switching Embodiments (7),Proximity heuristic,,10,2,12
93,Switching Embodiments (7),Proximity heuristic,,46,2,13
94,Switching Embodiments (7),Proximity heuristic,,20,2,14
95,Switching Embodiments (7),Proximity heuristic,,8,2,15
96,Switching Embodiments (7),Proximity heuristic,,30,2,16
97,Switching Embodiments (7),Proximity heuristic,,28,2,17
98,Switching Embodiments (7),Proximity heuristic,,101,2,18
99,Switching Embodiments (7),Proximity heuristic,,14,2,19
100,Switching Embodiments (7),Proximity heuristic,,24,2,20
101,Switching Embodiments (7),Proximity heuristic,,18,2,21
102,Switching Embodiments (7),Proximity heuristic,,46,2,22
103,Switching Embodiments (7),Proximity heuristic,,16,2,23
104,Switching Embodiments (7),Proximity heuristic,,24,2,24
105,Switching Embodiments (7),Proximity heuristic,,18,2,25
106,Switching Embodiments (7),Proximity heuristic,,23,2,26
107,Switching Embodiments (7),Proximity heuristic,,37,2,27
108,Switching Embodiments (7),Proximity heuristic,,39,2,28
109,Switching Embodiments (7),Proximity heuristic,,20,2,29
110,Switching Embodiments (7),Proximity heuristic,,24,2,30
111,Switching Embodiments (7),Proximity heuristic,,68,2,31
112,Switching Embodiments (7),Proximity heuristic,,18,2,32
113,Switching Embodiments (7),Proximity heuristic,,32,2,33
114,Switching Embodiments (7),Proximity heuristic,,22,2,34
115,Switching Embodiments (7),Proximity heuristic,,30,2,35
116,Switching Embodiments (7),Proximity heuristic,,10,2,36
117,Switching Embodiments (7),Proximity heuristic,,32,2,37
118,Switching Embodiments (7),Proximity heuristic,,40,2,38
119,Switching Embodiments (7),Proximity heuristic,,32,2,39
120,Switching Embodiments (7),Proximity heuristic,,20,3,0
121,Switching Embodiments (7),Proximity heuristic,,29,3,1
122,Switching Embodiments (7),Proximity heuristic,,49,3,2
123,Switching Embodiments (7),Proximity heuristic,,35,3,3
124,Switching Embodiments (7),Proximity heuristic,,18,3,4
125,Switching Embodiments (7),Proximity heuristic,,44,3,5
126,Switching Embodiments (7),Proximity heuristic,,66,3,6
127,Switching Embodiments (7),Proximity heuristic,,47,3,7
128,Switching Embodiments (7),Proximity heuristic,,16,3,8
129,Switching Embodiments (7),Proximity heuristic,,34,3,9
130,Switching Embodiments (7),Proximity heuristic,,12,3,10
131,Switching Embodiments (7),Proximity heuristic,,47,3,11
132,Switching Embodiments (7),Proximity heuristic,,16,3,12
133,Switching Embodiments (7),Proximity heuristic,,18,3,13
134,Switching Embodiments (7),Proximity heuristic,,17,3,14
135,Switching Embodiments (7),Proximity heuristic,,12,3,15
136,Switching Embodiments (7),Proximity heuristic,,57,3,16
137,Switching Embodiments (7),Proximity heuristic,,16,3,17
138,Switching Embodiments (7),Proximity heuristic,,26,3,18
139,Switching Embodiments (7),Proximity heuristic,,18,3,19
140,Switching Embodiments (7),Proximity heuristic,,79,3,20
141,Switching Embodiments (7),Proximity heuristic,,42,3,21
142,Switching Embodiments (7),Proximity heuristic,,22,3,22
143,Switching Embodiments (7),Proximity heuristic,,34,3,23
144,Switching Embodiments (7),Proximity heuristic,,26,3,24
145,Switching Embodiments (7),Proximity heuristic,,38,3,25
146,Switching Embodiments (7),Proximity heuristic,,34,3,26
147,Switching Embodiments (7),Proximity heuristic,,12,3,27
148,Switching Embodiments (7),Proximity heuristic,,55,3,28
149,Switching Embodiments (7),Proximity heuristic,,14,3,29
150,Switching Embodiments (7),Proximity heuristic,,22,3,30
151,Switching Embodiments (7),Proximity heuristic,,38,3,31
152,Switching Embodiments (7),Proximity heuristic,,77,3,32
153,Switching Embodiments (7),Proximity heuristic,,94,3,33
154,Switching Embodiments (7),Proximity heuristic,,18,3,34
155,Switching Embodiments (7),Proximity heuristic,,24,3,35
156,Switching Embodiments (7),Proximity heuristic,,22,3,36
157,Switching Embodiments (7),Proximity heuristic,,34,3,37
158,Switching Embodiments (7),Proximity heuristic,,23,3,38
159,Switching Embodiments (7),Proximity heuristic,,60,3,39
160,Switching Embodiments (7),Proximity heuristic,,34,4,0
161,Switching Embodiments (7),Proximity heuristic,,46,4,1
162,Switching Embodiments (7),Proximity heuristic,,44,4,2
163,Switching Embodiments (7),Proximity heuristic,,16,4,3
164,Switching Embodiments (7),Proximity heuristic,,22,4,4
165,Switching Embodiments (7),Proximity heuristic,,60,4,5
166,Switching Embodiments (7),Proximity heuristic,,16,4,6
167,Switching Embodiments (7),Proximity heuristic,,38,4,7
168,Switching Embodiments (7),Proximity heuristic,,8,4,8
169,Switching Embodiments (7),Proximity heuristic,,20,4,9
170,Switching Embodiments (7),Proximity heuristic,,40,4,10
171,Switching Embodiments (7),Proximity heuristic,,30,4,11
172,Switching Embodiments (7),Proximity heuristic,,10,4,12
173,Switching Embodiments (7),Proximity heuristic,,24,4,13
174,Switching Embodiments (7),Proximity heuristic,,16,4,14
175,Switching Embodiments (7),Proximity heuristic,,32,4,15
176,Switching Embodiments (7),Proximity heuristic,,26,4,16
177,Switching Embodiments (7),Proximity heuristic,,58,4,17
178,Switching Embodiments (7),Proximity heuristic,,39,4,18
179,Switching Embodiments (7),Proximity heuristic,,59,4,19
180,Switching Embodiments (7),Proximity heuristic,,60,4,20
181,Switching Embodiments (7),Proximity heuristic,,22,4,21
182,Switching Embodiments (7),Proximity heuristic,,40,4,22
183,Switching Embodiments (7),Proximity heuristic,,18,4,23
184,Switching Embodiments (7),Proximity heuristic,,10,4,24
185,Switching Embodiments (7),Proximity heuristic,,12,4,25
186,Switching Embodiments (7),Proximity heuristic,,22,4,26
187,Switching Embodiments (7),Proximity heuristic,,58,4,27
188,Switching Embodiments (7),Proximity heuristic,,65,4,28
189,Switching Embodiments (7),Proximity heuristic,,40,4,29
190,Switching Embodiments (7),Proximity heuristic,,20,4,30
191,Switching Embodiments (7),Proximity heuristic,,18,4,31
192,Switching Embodiments (7),Proximity heuristic,,42,4,32
193,Switching Embodiments (7),Proximity heuristic,,60,4,33
194,Switching Embodiments (7),Proximity heuristic,,47,4,34
195,Switching Embodiments (7),Proximity heuristic,,18,4,35
196,Switching Embodiments (7),Proximity heuristic,,32,4,36
197,Switching Embodiments (7),Proximity heuristic,,20,4,37
198,Switching Embodiments (7),Proximity heuristic,,85,4,38
199,Switching Embodiments (7),Proximity heuristic,,20,4,39
200,Switching Embodiments (7),Proximity heuristic,,36,5,0
201,Switching Embodiments (7),Proximity heuristic,,16,5,1
202,Switching Embodiments (7),Proximity heuristic,,66,5,2
203,Switching Embodiments (7),Proximity heuristic,,52,5,3
204,Switching Embodiments (7),Proximity heuristic,,39,5,4
205,Switching Embodiments (7),Proximity heuristic,,16,5,5
206,Switching Embodiments (7),Proximity heuristic,,11,5,6
207,Switching Embodiments (7),Proximity heuristic,,148,5,7
208,Switching Embodiments (7),Proximity heuristic,,10,5,8
209,Switching Embodiments (7),Proximity heuristic,,20,5,9
210,Switching Embodiments (7),Proximity heuristic,,10,5,10
211,Switching Embodiments (7),Proximity heuristic,,40,5,11
212,Switching Embodiments (7),Proximity heuristic,,31,5,12
213,Switching Embodiments (7),Proximity heuristic,,18,5,13
214,Switching Embodiments (7),Proximity heuristic,,18,5,14
215,Switching Embodiments (7),Proximity heuristic,,50,5,15
216,Switching Embodiments (7),Proximity heuristic,,48,5,16
217,Switching Embodiments (7),Proximity heuristic,,20,5,17
218,Switching Embodiments (7),Proximity heuristic,,24,5,18
219,Switching Embodiments (7),Proximity heuristic,,22,5,19
220,Switching Embodiments (7),Proximity heuristic,,10,5,20
221,Switching Embodiments (7),Proximity heuristic,,32,5,21
222,Switching Embodiments (7),Proximity heuristic,,14,5,22
223,Switching Embodiments (7),Proximity heuristic,,38,5,23
224,Switching Embodiments (7),Proximity heuristic,,22,5,24
225,Switching Embodiments (7),Proximity heuristic,,47,5,25
226,Switching Embodiments (7),Proximity heuristic,,48,5,26
227,Switching Embodiments (7),Proximity heuristic,,16,5,27
228,Switching Embodiments (7),Proximity heuristic,,14,5,28
229,Switching Embodiments (7),Proximity heuristic,,12,5,29
230,Switching Embodiments (7),Proximity heuristic,,12,5,30
231,Switching Embodiments (7),Proximity heuristic,,81,5,31
232,Switching Embodiments (7),Proximity heuristic,,16,5,32
233,Switching Embodiments (7),Proximity heuristic,,22,5,33
234,Switching Embodiments (7),Proximity heuristic,,12,5,34
235,Switching Embodiments (7),Proximity heuristic,,16,5,35
236,Switching Embodiments (7),Proximity heuristic,,12,5,36
237,Switching Embodiments (7),Proximity heuristic,,12,5,37
238,Switching Embodiments (7),Proximity heuristic,,30,5,38
239,Switching Embodiments (7),Proximity heuristic,,21,5,39
240,Switching Embodiments (7),Proximity heuristic,,195,6,0
241,Switching Embodiments (7),Proximity heuristic,,16,6,1
242,Switching Embodiments (7),Proximity heuristic,,16,6,2
243,Switching Embodiments (7),Proximity heuristic,,72,6,3
244,Switching Embodiments (7),Proximity heuristic,,46,6,4
245,Switching Embodiments (7),Proximity heuristic,,24,6,5
246,Switching Embodiments (7),Proximity heuristic,,18,6,6
247,Switching Embodiments (7),Proximity heuristic,,26,6,7
248,Switching Embodiments (7),Proximity heuristic,,45,6,8
249,Switching Embodiments (7),Proximity heuristic,,58,6,9
250,Switching Embodiments (7),Proximity heuristic,,35,6,10
251,Switching Embodiments (7),Proximity heuristic,,12,6,11
252,Switching Embodiments (7),Proximity heuristic,,12,6,12
253,Switching Embodiments (7),Proximity heuristic,,107,6,13
254,Switching Embodiments (7),Proximity heuristic,,116,6,14
255,Switching Embodiments (7),Proximity heuristic,,45,6,15
256,Switching Embodiments (7),Proximity heuristic,,16,6,16
257,Switching Embodiments (7),Proximity heuristic,,54,6,17
258,Switching Embodiments (7),Proximity heuristic,,130,6,18
259,Switching Embodiments (7),Proximity heuristic,,16,6,19
260,Switching Embodiments (7),Proximity heuristic,,51,6,20
261,Switching Embodiments (7),Proximity heuristic,,18,6,21
262,Switching Embodiments (7),Proximity heuristic,,26,6,22
263,Switching Embodiments (7),Proximity heuristic,,49,6,23
264,Switching Embodiments (7),Proximity heuristic,,62,6,24
265,Switching Embodiments (7),Proximity heuristic,,14,6,25
266,Switching Embodiments (7),Proximity heuristic,,72,6,26
267,Switching Embodiments (7),Proximity heuristic,,44,6,27
268,Switching Embodiments (7),Proximity heuristic,,109,6,28
269,Switching Embodiments (7),Proximity heuristic,,10,6,29
270,Switching Embodiments (7),Proximity heuristic,,12,6,30
271,Switching Embodiments (7),Proximity heuristic,,10,6,31
272,Switching Embodiments (7),Proximity heuristic,,26,6,32
273,Switching Embodiments (7),Proximity heuristic,,15,6,33
274,Switching Embodiments (7),Proximity heuristic,,30,6,34
275,Switching Embodiments (7),Proximity heuristic,,20,6,35
276,Switching Embodiments (7),Proximity heuristic,,16,6,36
277,Switching Embodiments (7),Proximity heuristic,,10,6,37
278,Switching Embodiments (7),Proximity heuristic,,10,6,38
279,Switching Embodiments (7),Proximity heuristic,,81,6,39
280,Switching Embodiments (7),Proximity heuristic,,24,7,0
281,Switching Embodiments (7),Proximity heuristic,,18,7,1
282,Switching Embodiments (7),Proximity heuristic,,10,7,2
283,Switching Embodiments (7),Proximity heuristic,,22,7,3
284,Switching Embodiments (7),Proximity heuristic,,38,7,4
285,Switching Embodiments (7),Proximity heuristic,,26,7,5
286,Switching Embodiments (7),Proximity heuristic,,26,7,6
287,Switching Embodiments (7),Proximity heuristic,,16,7,7
288,Switching Embodiments (7),Proximity heuristic,,16,7,8
289,Switching Embodiments (7),Proximity heuristic,,14,7,9
290,Switching Embodiments (7),Proximity heuristic,,93,7,10
291,Switching Embodiments (7),Proximity heuristic,,10,7,11
292,Switching Embodiments (7),Proximity heuristic,,18,7,12
293,Switching Embodiments (7),Proximity heuristic,,32,7,13
294,Switching Embodiments (7),Proximity heuristic,,45,7,14
295,Switching Embodiments (7),Proximity heuristic,,8,7,15
296,Switching Embodiments (7),Proximity heuristic,,12,7,16
297,Switching Embodiments (7),Proximity heuristic,,50,7,17
298,Switching Embodiments (7),Proximity heuristic,,15,7,18
299,Switching Embodiments (7),Proximity heuristic,,16,7,19
300,Switching Embodiments (7),Proximity heuristic,,22,7,20
301,Switching Embodiments (7),Proximity heuristic,,12,7,21
302,Switching Embodiments (7),Proximity heuristic,,29,7,22
303,Switching Embodiments (7),Proximity heuristic,,40,7,23
304,Switching Embodiments (7),Proximity heuristic,,43,7,24
305,Switching Embodiments (7),Proximity heuristic,,69,7,25
306,Switching Embodiments (7),Proximity heuristic,,22,7,26
307,Switching Embodiments (7),Proximity heuristic,,40,7,27
308,Switching Embodiments (7),Proximity heuristic,,8,7,28
309,Switching Embodiments (7),Proximity heuristic,,60,7,29
310,Switching Embodiments (7),Proximity heuristic,,12,7,30
311,Switching Embodiments (7),Proximity heuristic,,58,7,31
312,Switching Embodiments (7),Proximity heuristic,,27,7,32
313,Switching Embodiments (7),Proximity heuristic,,18,7,33
314,Switching Embodiments (7),Proximity heuristic,,12,7,34
315,Switching Embodiments (7),Proximity heuristic,,24,7,35
316,Switching Embodiments (7),Proximity heuristic,,16,7,36
317,Switching Embodiments (7),Proximity heuristic,,26,7,37
318,Switching Embodiments (7),Proximity heuristic,,59,7,38
319,Switching Embodiments (7),Proximity heuristic,,47,7,39
320,Switching Embodiments (7),Proximity heuristic,,12,8,0
321,Switching Embodiments (7),Proximity heuristic,,50,8,1
322,Switching Embodiments (7),Proximity heuristic,,17,8,2
323,Switching Embodiments (7),Proximity heuristic,,14,8,3
324,Switching Embodiments (7),Proximity heuristic,,16,8,4
325,Switching Embodiments (7),Proximity heuristic,,38,8,5
326,Switching Embodiments (7),Proximity heuristic,,94,8,6
327,Switching Embodiments (7),Proximity heuristic,,101,8,7
328,Switching Embodiments (7),Proximity heuristic,,8,8,8
329,Switching Embodiments (7),Proximity heuristic,,108,8,9
330,Switching Embodiments (7),Proximity heuristic,,52,8,10
331,Switching Embodiments (7),Proximity heuristic,,10,8,11
332,Switching Embodiments (7),Proximity heuristic,,30,8,12
333,Switching Embodiments (7),Proximity heuristic,,22,8,13
334,Switching Embodiments (7),Proximity heuristic,,30,8,14
335,Switching Embodiments (7),Proximity heuristic,,10,8,15
336,Switching Embodiments (7),Proximity heuristic,,18,8,16
337,Switching Embodiments (7),Proximity heuristic,,46,8,17
338,Switching Embodiments (7),Proximity heuristic,,16,8,18
339,Switching Embodiments (7),Proximity heuristic,,29,8,19
340,Switching Embodiments (7),Proximity heuristic,,34,8,20
341,Switching Embodiments (7),Proximity heuristic,,28,8,21
342,Switching Embodiments (7),Proximity heuristic,,10,8,22
343,Switching Embodiments (7),Proximity heuristic,,30,8,23
344,Switching Embodiments (7),Proximity heuristic,,12,8,24
345,Switching Embodiments (7),Proximity heuristic,,92,8,25
346,Switching Embodiments (7),Proximity heuristic,,14,8,26
347,Switching Embodiments (7),Proximity heuristic,,29,8,27
348,Switching Embodiments (7),Proximity heuristic,,51,8,28
349,Switching Embodiments (7),Proximity heuristic,,88,8,29
350,Switching Embodiments (7),Proximity heuristic,,29,8,30
351,Switching Embodiments (7),Proximity heuristic,,24,8,31
352,Switching Embodiments (7),Proximity heuristic,,24,8,32
353,Switching Embodiments (7),Proximity heuristic,,10,8,33
354,Switching Embodiments (7),Proximity heuristic,,12,8,34
355,Switching Embodiments (7),Proximity heuristic,,40,8,35
356,Switching Embodiments (7),Proximity heuristic,,16,8,36
357,Switching Embodiments (7),Proximity heuristic,,32,8,37
358,Switching Embodiments (7),Proximity heuristic,,10,8,38
359,Switching Embodiments (7),Proximity heuristic,,18,8,39
360,Switching Embodiments (7),Proximity heuristic,,38,9,0
361,Switching Embodiments (7),Proximity heuristic,,36,9,1
362,Switching Embodiments (7),Proximity heuristic,,72,9,2
363,Switching Embodiments (7),Proximity heuristic,,12,9,3
364,Switching Embodiments (7),Proximity heuristic,,12,9,4
365,Switching Embodiments (7),Proximity heuristic,,67,9,5
366,Switching Embodiments (7),Proximity heuristic,,12,9,6
367,Switching Embodiments (7),Proximity heuristic,,26,9,7
368,Switching Embodiments (7),Proximity heuristic,,26,9,8
369,Switching Embodiments (7),Proximity heuristic,,12,9,9
370,Switching Embodiments (7),Proximity heuristic,,27,9,10
371,Switching Embodiments (7),Proximity heuristic,,34,9,11
372,Switching Embodiments (7),Proximity heuristic,,100,9,12
373,Switching Embodiments (7),Proximity heuristic,,52,9,13
374,Switching Embodiments (7),Proximity heuristic,,38,9,14
375,Switching Embodiments (7),Proximity heuristic,,18,9,15
376,Switching Embodiments (7),Proximity heuristic,,18,9,16
377,Switching Embodiments (7),Proximity heuristic,,47,9,17
378,Switching Embodiments (7),Proximity heuristic,,16,9,18
379,Switching Embodiments (7),Proximity heuristic,,12,9,19
380,Switching Embodiments (7),Proximity heuristic,,20,9,20
381,Switching Embodiments (7),Proximity heuristic,,20,9,21
382,Switching Embodiments (7),Proximity heuristic,,19,9,22
383,Switching Embodiments (7),Proximity heuristic,,39,9,23
384,Switching Embodiments (7),Proximity heuristic,,24,9,24
385,Switching Embodiments (7),Proximity heuristic,,12,9,25
386,Switching Embodiments (7),Proximity heuristic,,22,9,26
387,Switching Embodiments (7),Proximity heuristic,,18,9,27
388,Switching Embodiments (7),Proximity heuristic,,38,9,28
389,Switching Embodiments (7),Proximity heuristic,,12,9,29
390,Switching Embodiments (7),Proximity heuristic,,92,9,30
391,Switching Embodiments (7),Proximity heuristic,,12,9,31
392,Switching Embodiments (7),Proximity heuristic,,12,9,32
393,Switching Embodiments (7),Proximity heuristic,,52,9,33
394,Switching Embodiments (7),Proximity heuristic,,10,9,34
395,Switching Embodiments (7),Proximity heuristic,,37,9,35
396,Switching Embodiments (7),Proximity heuristic,,52,9,36
397,Switching Embodiments (7),Proximity heuristic,,20,9,37
398,Switching Embodiments (7),Proximity heuristic,,37,9,38
399,Switching Embodiments (7),Proximity heuristic,,34,9,39
400,Switching Embodiments (7),Proximity heuristic,,14,10,0
401,Switching Embodiments (7),Proximity heuristic,,84,10,1
402,Switching Embodiments (7),Proximity heuristic,,30,10,2
403,Switching Embodiments (7),Proximity heuristic,,96,10,3
404,Switching Embodiments (7),Proximity heuristic,,32,10,4
405,Switching Embodiments (7),Proximity heuristic,,26,10,5
406,Switching Embodiments (7),Proximity heuristic,,22,10,6
407,Switching Embodiments (7),Proximity heuristic,,52,10,7
408,Switching Embodiments (7),Proximity heuristic,,50,10,8
409,Switching Embodiments (7),Proximity heuristic,,8,10,9
410,Switching Embodiments (7),Proximity heuristic,,35,10,10
411,Switching Embodiments (7),Proximity heuristic,,35,10,11
412,Switching Embodiments (7),Proximity heuristic,,32,10,12
413,Switching Embodiments (7),Proximity heuristic,,18,10,13
414,Switching Embodiments (7),Proximity heuristic,,110,10,14
415,Switching Embodiments (7),Proximity heuristic,,87,10,15
416,Switching Embodiments (7),Proximity heuristic,,90,10,16
417,Switching Embodiments (7),Proximity heuristic,,12,10,17
418,Switching Embodiments (7),Proximity heuristic,,12,10,18
419,Switching Embodiments (7),Proximity heuristic,,20,10,19
420,Switching Embodiments (7),Proximity heuristic,,24,10,20
421,Switching Embodiments (7),Proximity heuristic,,30,10,21
422,Switching Embodiments (7),Proximity heuristic,,12,10,22
423,Switching Embodiments (7),Proximity heuristic,,10,10,23
424,Switching Embodiments (7),Proximity heuristic,,143,10,24
425,Switching Embodiments (7),Proximity heuristic,,43,10,25
426,Switching Embodiments (7),Proximity heuristic,,12,10,26
427,Switching Embodiments (7),Proximity heuristic,,16,10,27
428,Switching Embodiments (7),Proximity heuristic,,20,10,28
429,Switching Embodiments (7),Proximity heuristic,,31,10,29
430,Switching Embodiments (7),Proximity heuristic,,12,10,30
431,Switching Embodiments (7),Proximity heuristic,,53,10,31
432,Switching Embodiments (7),Proximity heuristic,,10,10,32
433,Switching Embodiments (7),Proximity heuristic,,49,10,33
434,Switching Embodiments (7),Proximity heuristic,,18,10,34
435,Switching Embodiments (7),Proximity heuristic,,20,10,35
436,Switching Embodiments (7),Proximity heuristic,,55,10,36
437,Switching Embodiments (7),Proximity heuristic,,12,10,37
438,Switching Embodiments (7),Proximity heuristic,,8,10,38
439,Switching Embodiments (7),Proximity heuristic,,26,10,39
440,Switching Embodiments (7),Proximity heuristic,,12,11,0
441,Switching Embodiments (7),Proximity heuristic,,82,11,1
442,Switching Embodiments (7),Proximity heuristic,,16,11,2
443,Switching Embodiments (7),Proximity heuristic,,16,11,3
444,Switching Embodiments (7),Proximity heuristic,,16,11,4
445,Switching Embodiments (7),Proximity heuristic,,38,11,5
446,Switching Embodiments (7),Proximity heuristic,,52,11,6
447,Switching Embodiments (7),Proximity heuristic,,38,11,7
448,Switching Embodiments (7),Proximity heuristic,,26,11,8
449,Switching Embodiments (7),Proximity heuristic,,32,11,9
450,Switching Embodiments (7),Proximity heuristic,,53,11,10
451,Switching Embodiments (7),Proximity heuristic,,24,11,11
452,Switching Embodiments (7),Proximity heuristic,,50,11,12
453,Switching Embodiments (7),Proximity heuristic,,12,11,13
454,Switching Embodiments (7),Proximity heuristic,,32,11,14
455,Switching Embodiments (7),Proximity heuristic,,12,11,15
456,Switching Embodiments (7),Proximity heuristic,,20,11,16
457,Switching Embodiments (7),Proximity heuristic,,40,11,17
458,Switching Embodiments (7),Proximity heuristic,,10,11,18
459,Switching Embodiments (7),Proximity heuristic,,10,11,19
460,Switching Embodiments (7),Proximity heuristic,,57,11,20
461,Switching Embodiments (7),Proximity heuristic,,23,11,21
462,Switching Embodiments (7),Proximity heuristic,,58,11,22
463,Switching Embodiments (7),Proximity heuristic,,60,11,23
464,Switching Embodiments (7),Proximity heuristic,,32,11,24
465,Switching Embodiments (7),Proximity heuristic,,73,11,25
466,Switching Embodiments (7),Proximity heuristic,,32,11,26
467,Switching Embodiments (7),Proximity heuristic,,98,11,27
468,Switching Embodiments (7),Proximity heuristic,,25,11,28
469,Switching Embodiments (7),Proximity heuristic,,18,11,29
470,Switching Embodiments (7),Proximity heuristic,,16,11,30
471,Switching Embodiments (7),Proximity heuristic,,59,11,31
472,Switching Embodiments (7),Proximity heuristic,,14,11,32
473,Switching Embodiments (7),Proximity heuristic,,12,11,33
474,Switching Embodiments (7),Proximity heuristic,,10,11,34
475,Switching Embodiments (7),Proximity heuristic,,23,11,35
476,Switching Embodiments (7),Proximity heuristic,,12,11,36
477,Switching Embodiments (7),Proximity heuristic,,22,11,37
478,Switching Embodiments (7),Proximity heuristic,,17,11,38
479,Switching Embodiments (7),Proximity heuristic,,12,11,39
480,Switching Embodiments (7),Proximity heuristic,,39,12,0
